Crop,Model,R²,MSE,RMSE,MAE
Groundnut,XGBoost,0.7971588840650444,0.0824346435500164,0.2871143388095002,0.2025491509610078
Groundnut,CatBoost,0.8163645011763195,0.0746294794272074,0.2731839662703641,0.1958582362250313
Groundnut,SVM,0.8347880321328693,0.0671421551717892,0.2591180332817253,0.1839906737781406
Groundnut,MLP,0.7967375012377261,0.082605893560193,0.2874124102403948,0.2097125570077957
Horse-gram,Random Forest,0.7066316217602879,0.0135906407121228,0.1165789033750227,0.077428829976759
Horse-gram,Gradient Boosting,0.6994689505422517,0.0139224600160556,0.1179934744638688,0.0798668675476331
Horse-gram,XGBoost,0.6958964758810833,0.0140879591740236,0.1186927090179664,0.0801551135578144
Horse-gram,CatBoost,0.6792161171170715,0.0148606967276456,0.1219044573739844,0.0838750991760086
Horse-gram,SVM,0.7079577580032204,0.0135292058658686,0.1163151145202919,0.0780364466326095
Horse-gram,MLP,0.6768818433580848,0.0149688347491068,0.122347189379678,0.08295948940383
Jowar,Random Forest,0.5842138122971441,0.104346200681058,0.323026625343884,0.2061435186496609
Jowar,Gradient Boosting,0.5370774121830757,0.1161756082254959,0.3408454315749236,0.2204454449316005
Jowar,XGBoost,0.5403919506321534,0.1153437876782974,0.3396230081697903,0.2221517046083507
Jowar,CatBoost,0.5578842821551538,0.11095389116547,0.3330974199321724,0.2121067813389061
Jowar,SVM,0.6200707850264892,0.0953474917703489,0.3087838916950639,0.1792422956732866
Jowar,MLP,0.6064388706841939,0.0987685733543401,0.3142746781946329,0.2015310471479315
Ragi,Random Forest,0.8551420321524694,0.0659531960977344,0.2568135434468643,0.1623946116338494
Ragi,Gradient Boosting,0.8708000304922788,0.0588241782718706,0.2425369626920207,0.159125695658665
Ragi,XGBoost,0.8559075950246596,0.065604638686741,0.2561340248517191,0.1636887279732583
Ragi,CatBoost,0.8675535229178886,0.0603022989018101,0.2455652640375061,0.1672476150461945
Ragi,SVM,0.8426642400169648,0.0716342800160585,0.2676458107575354,0.1703791261500035
Ragi,MLP,0.8270165515317871,0.0787586038104211,0.2806396333564116,0.18115595829514
Sugarcane,Random Forest,0.9081629904546736,82.73915395982733,9.096106527510951,5.964826526659062
Sugarcane,Gradient Boosting,0.9110546912064336,80.13392024315725,8.951755148749168,6.353475553198234
Sugarcane,XGBoost,0.9000770380566475,90.02406952583242,9.488101471096966,6.554768750980681
Sugarcane,CatBoost,0.8983765129379009,91.556131711972,9.568496836597271,6.7520362928667
Sugarcane,SVM,0.9075450822789768,83.29584891249542,9.126655954537531,5.991508619187245
Sugarcane,MLP,0.8988360661275258,91.14210427034088,9.54683739624494,6.583365142677422
Black pepper,Random Forest,0.7824157843901519,0.1543778840570278,0.392909511283486,0.2188413076373933
Black pepper,Gradient Boosting,0.8062504254802478,0.137466999926786,0.3707654243949751,0.2098142219096135
Black pepper,XGBoost,0.6653584992382038,0.2374310409442042,0.4872689616056046,0.2389032088089346
Black pepper,CatBoost,0.8429527400745473,0.1114263900820759,0.3338059167870995,0.2133899495994128
Black pepper,SVM,0.6717534430755414,0.2328937729465937,0.4825906888312224,0.22447927521673
Black pepper,MLP,0.8187559106198745,0.128594249991543,0.3586004043382313,0.2017559151209147
Cashewnut,Random Forest,0.6584951107620185,0.0454015994831276,0.2130765108667018,0.1357216228657697
